FECHA;PRODUCTO;TIPO CONTRATO;TIPO OPCION;EJERCICIO;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;CONTRATOS;AJUSTE / PRIMA REF.;T. IMPLICITA;VAR %;IA;VAR. IA;TRADES
14-11-2025;DLR;DLR112025;;;1420,000000;1423,000000;1413,000000;1423,000000;1415,000000;471003;1415,000000;18,5562;-0,352113;2032913,000000;-12398,000000;1590
14-11-2025;DLR;DLR122025;;;1457,500000;1456,500000;1450,000000;1457,000000;1451,000000;189693;1451,000000;25,9786;-0,445969;1576567,000000;4285,000000;887
14-11-2025;DLR;DLR012026;;;1493,500000;1489,000000;1484,000000;1493,000000;1486,000000;55440;1486,000000;27,3282;-0,502176;784900,000000;390,000000;238
14-11-2025;DLR;DLR022026;;;1520,000000;1517,500000;1505,000000;1519,000000;1515,000000;11339;1515,000000;27,2157;-0,328947;321897,000000;10358,000000;18
14-11-2025;DLR;DLR032026;;;1551,500000;1548,500000;1545,000000;1550,000000;1547,500000;1135;1547,000000;26,9268;-0,290042;338090,000000;142,000000;16
14-11-2025;DLR;DLR042026;;;1577,500000;1575,000000;1575,000000;1575,000000;1575,000000;25;1575,000000;26,4453;-0,158479;525058,000000;0,000000;1
14-11-2025;DLR;DLR052026;;;1604,500000;1603,000000;1597,000000;1603,500000;1600,000000;3103;1600,000000;25,8461;-0,280461;2045251,000000;-1414,000000;37
14-11-2025;DLR;DLR062026;;;1633,500000;1627,500000;1620,000000;1628,500000;1626,500000;2734;1627,500000;25,3520;-0,367309;94794,000000;-1107,000000;28
14-11-2025;DLR;DLR092026;;;1720,500000;1770,000000;1770,000000;1770,000000;1770,000000;10000;1714,500000;25,1262;-0,348736;10029,000000;10000,000000;1
14-11-2025;DLR;DLR102026;;;0,000000;1785,000000;1785,000000;1785,000000;1785,000000;1;1755,000000;25,9786;0,000000;1,000000;1,000000;1
17-11-2025;DLR;DLR112025;;;1415,000000;1415,000000;1392,000000;1415,000000;1394,000000;583629;1393,500000;-17,7633;-1,519435;2006469,000000;-26444,000000;2452
17-11-2025;DLR;DLR122025;;;1451,000000;1451,000000;1428,000000;1451,000000;1429,500000;251450;1429,000000;16,9646;-1,516196;1594399,000000;17832,000000;1475
17-11-2025;DLR;DLR012026;;;1486,000000;1500,000000;1461,000000;1500,000000;1461,000000;70697;1462,500000;21,6520;-1,581427;798843,000000;13943,000000;239
17-11-2025;DLR;DLR022026;;;1515,000000;1525,000000;1488,000000;1525,000000;1488,000000;14784;1489,000000;22,4769;-1,716172;334908,000000;13011,000000;42
17-11-2025;DLR;DLR032026;;;1547,000000;1542,500000;1522,000000;1542,500000;1522,000000;559;1521,000000;23,3309;-1,680672;337816,000000;-274,000000;30
17-11-2025;DLR;DLR042026;;;1575,000000;1550,000000;1550,000000;1570,000000;1551,500000;18933;1551,500000;23,9082;-1,492063;525158,000000;100,000000;24
17-11-2025;DLR;DLR052026;;;1600,000000;1581,500000;1575,000000;1595,000000;1580,000000;18331;1579,000000;24,0280;-1,312500;2044829,000000;-422,000000;62
17-11-2025;DLR;DLR062026;;;1627,500000;1617,500000;1603,000000;1618,000000;1604,000000;2335;1605,000000;23,6212;-1,382488;93699,000000;-1095,000000;37
17-11-2025;DLR;DLR082026;;;1679,500000;1660,000000;1660,000000;1662,000000;1662,000000;20;1662,000000;23,6926;-1,041977;1349,000000;20,000000;2
17-11-2025;DLR;DLR092026;;;1714,500000;1685,000000;1685,000000;1700,000000;1700,000000;51;1700,000000;24,5735;-0,845728;10080,000000;51,000000;2
18-11-2025;DLR;DLR112025;;;1393,500000;1395,000000;1387,500000;1405,000000;1404,000000;661570;1404,500000;43,3898;0,789379;2045712,000000;39243,000000;2511
18-11-2025;DLR;DLR122025;;;1429,000000;1427,500000;1423,500000;1443,000000;1441,500000;204089;1440,500000;32,8710;0,804759;1603098,000000;8699,000000;877
18-11-2025;DLR;DLR012026;;;1462,500000;1462,000000;1457,000000;1475,000000;1472,500000;49563;1475,000000;31,3401;0,854701;804345,000000;5502,000000;197
18-11-2025;DLR;DLR022026;;;1489,000000;1465,000000;1465,000000;1503,000000;1501,000000;36548;1501,000000;29,4212;0,805910;331139,000000;-3769,000000;105
18-11-2025;DLR;DLR032026;;;1521,000000;1521,000000;1516,000000;1538,000000;1537,000000;12447;1532,000000;28,4718;0,723208;340133,000000;2317,000000;53
18-11-2025;DLR;DLR042026;;;1551,500000;1550,000000;1545,000000;1565,500000;1560,000000;131363;1560,000000;27,7488;0,547857;521861,000000;-3297,000000;89
18-11-2025;DLR;DLR052026;;;1579,000000;1579,500000;1571,000000;1589,500000;1589,500000;19927;1588,500000;27,4610;0,601647;2044798,000000;-31,000000;48
18-11-2025;DLR;DLR062026;;;1605,000000;1605,000000;1599,000000;1619,000000;1614,500000;11114;1617,500000;26,9425;0,778816;93695,000000;-4,000000;11
18-11-2025;DLR;DLR092026;;;1700,000000;1700,000000;1700,000000;1728,000000;1702,000000;10078;1702,000000;26,1304;0,117647;20118,000000;10038,000000;8
18-11-2025;DLR;DLR102026;;;1722,000000;1722,000000;1722,000000;1722,000000;1722,000000;30;1730,000000;25,9928;0,464576;31,000000;30,000000;1
19-11-2025;DLR;DLR112025;;;1404,500000;1406,000000;1396,000000;1414,000000;1412,000000;520571;1411,500000;26,0250;0,498398;2031203,000000;-14509,000000;2296
19-11-2025;DLR;DLR122025;;;1440,500000;1448,000000;1435,000000;1452,000000;1449,500000;215108;1449,500000;29,8335;0,624783;1619223,000000;16125,000000;985
19-11-2025;DLR;DLR012026;;;1475,000000;1466,000000;1465,500000;1490,000000;1485,000000;51292;1485,000000;29,8203;0,677966;810859,000000;6514,000000;148
19-11-2025;DLR;DLR022026;;;1501,000000;1510,000000;1506,000000;1515,500000;1511,500000;316;1512,500000;28,6275;0,766156;331295,000000;156,000000;29
19-11-2025;DLR;DLR032026;;;1532,000000;1548,500000;1545,000000;1548,500000;1545,000000;3;1544,000000;27,8980;0,783290;340134,000000;1,000000;2
19-11-2025;DLR;DLR042026;;;1560,000000;1588,000000;1569,000000;1588,000000;1575,000000;3036;1575,000000;27,7118;0,961538;521891,000000;30,000000;15
19-11-2025;DLR;DLR052026;;;1588,500000;1589,000000;1589,000000;1603,500000;1603,500000;119097;1603,500000;27,3875;0,944287;2044807,000000;9,000000;71
19-11-2025;DLR;DLR062026;;;1617,500000;1640,000000;1625,500000;1640,000000;1631,000000;1263;1633,000000;26,9002;0,958269;93810,000000;115,000000;21
